Hotel_Name,breakfast,clean,design,location,room,service,staff,bussinessfriendly,Couple_single,With_children,Group
1K Hotel,8,5,7,34,62,5,33,1,1016,217,175
9Hotel Republique,25,8,14,36,55,7,67,0,750,191,151
A La Villa Madame,9,1,2,10,9,3,11,1,573,193,80
AC Hotel Paris Porte Maillot by Marriott,7,3,0,16,16,1,26,0,582,172,69
Acad mie H tel Saint Germain,15,6,0,95,84,7,112,0,404,257,89
Amarante Beau Manoir,9,1,0,50,31,3,47,0,393,206,85
Amarante Champs Elys es,2,1,0,38,11,0,28,0,506,80,84
Amp re,15,4,1,45,56,1,49,0,157,361,29
Arioso,5,2,0,11,9,0,12,0,152,304,57
Artus Hotel by MH,3,1,1,25,16,1,19,0,158,280,45
Atala Champs Elys es,1,1,0,9,8,1,10,0,316,55,49
Au Manoir Saint Germain,9,2,0,78,50,5,56,0,318,39,44
Auteuil Tour Eiffel,14,5,0,48,45,5,39,0,246,110,46
B Montmartre,15,1,0,23,37,7,51,0,284,61,40
Balmoral Champs Elys es,12,3,1,41,37,6,53,0,195,106,63
Banke H tel,7,1,4,40,40,13,60,0,181,134,51
Bassano,3,3,1,24,28,2,36,0,255,76,32
Belfast,10,1,0,31,34,2,29,0,202,119,30
Best Western Allegro Nation,4,1,0,7,8,1,5,1,183,107,32
Best Western Amiral Hotel,13,4,0,20,28,2,30,1,226,60,33
Best Western Aulivia Op ra,10,4,0,19,33,2,36,1,248,40,37
Best Western Bretagne Montparnasse,14,9,0,35,46,4,51,0,217,49,46
Best Western Ducs de Bourgogne,5,1,0,45,32,4,43,0,226,44,44
Best Western Hotel Montmartre Sacr Coeur,27,5,0,28,71,2,88,0,223,64,20
Best Western Le 18 Paris,6,3,0,1,22,0,20,0,256,33,18
Best Western Le Jardin de Cluny,12,8,2,55,33,3,50,0,196,46,57
Best Western Mercedes Arc de Triomphe,4,2,0,17,25,1,19,0,212,55,33
Best Western Nouvel Orl ans Montparnasse,15,6,1,52,74,3,46,0,222,28,35
Best Western Op ra Batignolles,9,3,0,6,21,0,26,0,235,28,22
Best Western Paris Gare Saint Lazare,6,5,1,19,13,1,18,0,209,42,36
Best Western Plus 61 Paris Nation Hotel,9,3,1,7,29,2,21,0,203,43,35
Best Western Plus Elys e Secret,6,6,1,36,18,0,26,0,170,64,48
Best Western Plus de Neuville Arc de Triomphe,6,0,0,15,17,3,30,0,192,60,29
Best Western Premier Faubourg 88,23,13,2,42,76,7,72,0,175,78,29
Best Western Premier Kapital Op ra,21,7,4,79,136,16,92,0,200,55,20
Best Western Premier Le Swann,14,4,1,24,27,3,27,1,193,39,43
Best Western Premier Louvre Saint Honor ,15,4,0,85,49,13,53,0,230,21,24
Best Western Premier Marais Grands Boulevards,14,10,5,72,68,6,65,0,173,50,46
Best Western Premier Op ra Faubourg Ex Hotel Jules ,28,10,2,95,98,9,83,0,177,69,26
Best Western Premier Op ra Li ge,9,6,4,22,39,10,52,0,132,102,31
Best Western Premier Op ra Opal,5,4,0,45,42,3,46,1,182,49,31
Best Western Premier Trocadero La Tour,3,1,0,12,15,0,9,0,195,38,32
Best Western S vres Montparnasse,26,6,0,35,42,2,59,0,182,53,27
Best Western Tour Eiffel Invalides,5,3,0,23,21,3,25,1,139,86,30
BoB Hotel by Elegancia,11,1,6,11,27,4,26,0,180,27,44
Boutique H tel Konfidentiel,1,0,0,5,13,0,6,1,206,22,24
Bradford Elys es Astotel,12,2,0,25,46,7,34,0,207,24,16
Buddha Bar Hotel Paris,8,0,3,24,28,10,42,0,198,26,25
COQ Hotel Paris,60,11,32,43,99,9,82,0,180,45,29
Castille Paris Starhotels Collezione,12,2,1,59,30,16,56,0,50,173,15
Chambiges Elys es,34,5,0,65,61,7,68,0,166,47,26
Chateau Frontenac,18,1,1,64,46,7,56,1,138,55,36
Crowne Plaza Paris R publique,25,2,0,67,40,3,44,0,167,36,26
D clic Hotel,1,3,6,15,26,3,22,1,168,30,30
Derby Alma,12,3,2,48,59,7,45,0,123,77,21
Drawing Hotel,1,0,1,8,2,1,4,0,152,35,38
Duret,3,1,1,13,9,2,12,0,137,47,45
Edouard 7 Paris Op ra,24,5,0,66,54,10,98,0,191,14,22
Eiffel Trocad ro,6,2,2,38,32,4,31,1,143,56,25
Elys es R gencia,17,4,0,110,66,9,99,0,47,165,9
Etoile Saint Ferdinand,9,2,0,28,24,1,43,0,91,106,21
First Hotel Paris Tour Eiffel,9,1,0,28,18,4,26,0,111,79,28
Forest Hill Paris la Villette,12,14,0,40,68,5,48,0,41,152,20
Four Seasons Hotel George V Paris,2,0,0,10,23,22,38,1,172,20,25
Francois 1er,27,1,0,37,23,8,42,0,133,46,38
Franklin Roosevelt,7,2,0,32,26,2,23,0,60,136,12
Garden Elys e,7,1,0,18,15,3,20,0,128,54,23
Gardette Park Hotel,10,7,3,53,60,3,53,0,108,63,38
Golden Tulip Bercy Gare de Lyon 209,5,6,3,32,55,5,69,0,146,44,16
Golden Tulip Opera de Noailles,33,9,2,64,56,8,72,0,125,48,31
Golden Tulip Washington Opera,3,2,0,49,29,8,29,0,147,42,14
Goralska R sidences H tel Paris Bastille,1,0,2,4,18,2,13,1,154,28,22
Grand H tel Du Palais Royal,16,5,1,72,52,23,110,0,128,52,24
Grand Hotel Saint Michel,34,4,0,54,42,5,77,0,104,63,23
Grand Pigalle Hotel,21,1,4,33,54,5,58,0,130,50,18
H tel Ad le Jules,8,4,2,20,31,3,44,1,113,45,37
H tel Aiglon Esprit de France,25,5,4,64,87,10,76,0,156,18,25
H tel Amastan Paris,5,1,0,3,14,1,18,1,136,34,29
H tel Arvor Saint Georges,20,3,5,30,34,1,48,1,146,20,29
H tel Balzac,3,2,3,50,33,7,41,0,145,28,21
H tel Barri re Le Fouquet s,1,0,0,6,8,5,7,0,118,44,27
H tel Baume,12,16,4,62,72,10,91,1,147,30,11
H tel Beauchamps,12,4,1,103,78,11,80,0,105,56,29
