index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit,Age,dup,cards
0,0,0,0,0,12.218505042023168,Commercial associate,Higher education,Married,Municipal apartment,4709,0,0,0,High skill tech staff,2.0,6.0,1.0,38.07945205479452,1,5
1,0,0,1,1,12.419173941766314,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1540,0,0,1,Laborers,3.0,5.0,1.0,31.17808219178082,1,9
2,1,1,1,0,13.017007306181071,Working,Higher education,Married,House / apartment,4434,0,1,0,Managers,2.0,22.0,2.0,52.293150684931504,1,6
3,0,0,1,0,12.218505042023168,Commercial associate,Secondary / secondary special,Married,House / apartment,2092,0,1,0,Sales staff,2.0,37.0,0.0,41.33698630136986,1,2
4,0,1,1,0,11.9671934355799,State servant,Higher education,Married,House / apartment,2105,0,0,0,Managers,2.0,26.0,2.0,41.1972602739726,0,1
5,0,0,1,2,12.506184645360484,Working,Secondary / secondary special,Married,House / apartment,4996,0,0,1,High skill tech staff,4.0,18.0,1.0,36.74794520547945,0,1
6,0,0,0,0,12.660334266993964,Working,Secondary / secondary special,Separated,House / apartment,1978,0,0,1,Core staff,1.0,41.0,2.0,48.136986301369866,1,5
7,1,0,1,0,12.506184645360484,Commercial associate,Secondary / secondary special,Married,House / apartment,5420,0,0,1,Drivers,2.0,53.0,0.0,40.81095890410959,1,2
8,1,1,1,1,12.100723240921731,Commercial associate,Higher education,Married,House / apartment,1466,0,0,1,Drivers,3.0,38.0,2.0,41.45479452054794,1,5
9,0,0,1,0,11.54734621517236,Working,Secondary / secondary special,Married,House / apartment,1308,0,0,0,Medicine staff,2.0,5.0,2.0,43.24657534246575,1,6
10,0,0,1,0,12.173043127315871,Working,Secondary / secondary special,Separated,House / apartment,2213,1,1,1,Laborers,1.0,40.0,2.0,52.227397260273975,1,4
11,1,1,1,1,11.813044872125642,Commercial associate,Higher education,Married,House / apartment,91,0,0,0,Managers,3.0,51.0,2.0,32.21643835616438,1,6
12,0,1,1,1,11.9671934355799,Commercial associate,Secondary / secondary special,Married,House / apartment,2162,0,0,0,Accountants,3.0,60.0,0.0,32.706849315068496,1,5
13,0,0,0,0,11.813044872125642,Working,Higher education,Married,House / apartment,2474,0,1,0,Sales staff,2.0,41.0,2.0,27.087671232876712,1,4
14,0,0,1,0,11.9671934355799,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,0,1,0,Unemployed,1.0,41.0,2.0,62.8,1,3
15,1,1,1,2,11.9671934355799,Working,Secondary / secondary special,Married,With parents,4056,0,1,0,Drivers,4.0,60.0,0.0,35.23013698630137,1,4
16,1,0,1,0,12.100723240921731,Working,Secondary / secondary special,Married,House / apartment,4553,0,1,0,Laborers,2.0,2.0,1.0,53.172602739726024,1,6
17,1,0,0,0,12.506184645360484,Commercial associate,Secondary / secondary special,Civil marriage,With parents,984,0,0,1,Sales staff,2.0,14.0,2.0,24.254794520547946,1,5
18,0,0,1,0,12.283042945882695,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,Unemployed,2.0,37.0,2.0,63.323287671232876,1,3
19,0,0,1,0,12.100723240921731,Working,Secondary / secondary special,Married,House / apartment,6031,0,0,0,Laborers,2.0,7.0,2.0,37.608219178082194,1,3
20,1,0,0,0,12.100723240921731,Working,Secondary / secondary special,Married,House / apartment,1753,0,1,0,Laborers,2.0,35.0,2.0,54.38356164383562,0,1
21,0,0,0,0,11.9671934355799,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,1,0,Unemployed,2.0,7.0,2.0,58.227397260273975,1,8
22,0,0,0,0,11.9671934355799,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1357,0,0,0,Laborers,2.0,22.0,0.0,41.63835616438356,0,1
23,1,1,0,0,12.32386457003594,Working,Secondary / secondary special,Married,Municipal apartment,444,1,1,1,Laborers,2.0,18.0,2.0,39.84109589041096,1,4
24,0,0,0,0,12.218505042023168,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,0,1,0,Unemployed,1.0,5.0,2.0,61.26301369863014,1,7
25,0,0,1,1,12.32386457003594,Commercial associate,Secondary / secondary special,Married,House / apartment,3694,0,0,0,Realty agents,3.0,4.0,2.0,38.515068493150686,1,6
26,1,1,0,1,11.813044872125642,Working,Higher education,Married,House / apartment,3353,1,0,0,Laborers,3.0,13.0,2.0,48.88493150684931,1,5
27,1,1,1,0,12.911647284348089,State servant,Secondary / secondary special,Married,House / apartment,3500,0,0,0,Medicine staff,2.0,57.0,2.0,47.42191780821918,1,6
28,1,1,0,0,11.630726278246367,Commercial associate,Secondary / secondary special,Married,With parents,2325,1,1,0,Drivers,2.0,47.0,2.0,60.57808219178082,0,1
29,0,0,1,0,11.707686002532611,Commercial associate,Secondary / secondary special,Married,Co-op apartment,1711,0,1,0,Sales staff,2.0,22.0,0.0,32.92328767123288,1,5
30,1,1,0,0,12.32386457003594,Commercial associate,Secondary / secondary special,Married,House / apartment,227,0,0,0,Managers,2.0,33.0,2.0,36.131506849315066,1,5
31,1,1,1,0,11.813044872125642,Commercial associate,Higher education,Married,House / apartment,3452,1,0,1,Laborers,2.0,18.0,0.0,32.224657534246575,1,2
32,0,0,1,0,11.813044872125642,Working,Higher education,Married,House / apartment,1628,0,0,0,Laborers,2.0,2.0,0.0,36.43561643835616,1,10
33,1,0,1,0,12.218505042023168,Working,Secondary / secondary special,Married,House / apartment,346,0,1,0,High skill tech staff,2.0,30.0,2.0,52.602739726027394,1,3
34,1,1,1,1,12.506184645360484,Working,Secondary / secondary special,Married,House / apartment,1630,0,1,0,Laborers,3.0,22.0,0.0,39.69315068493151,1,6
35,0,1,0,0,12.32386457003594,Working,Higher education,Civil marriage,House / apartment,2433,0,0,0,Managers,2.0,20.0,2.0,39.556164383561644,1,9
36,0,1,0,0,12.32386457003594,Working,Higher education,Single / not married,House / apartment,1022,1,1,0,Accountants,1.0,14.0,2.0,55.342465753424655,1,3
37,1,1,1,0,13.279370545011568,Commercial associate,Secondary / secondary special,Married,With parents,1646,0,0,0,Drivers,2.0,8.0,2.0,45.62465753424657,1,7
38,0,0,1,0,12.218505042023168,Working,Secondary / secondary special,Married,House / apartment,3472,0,0,0,Sales staff,2.0,41.0,2.0,37.21095890410959,0,1
39,1,1,1,2,11.630726278246367,Working,Secondary / secondary special,Married,House / apartment,1600,0,0,0,Laborers,4.0,39.0,2.0,35.676712328767124,1,5
40,1,1,1,0,11.417537282123746,Working,Secondary / secondary special,Married,House / apartment,2426,0,0,0,Laborers,2.0,21.0,1.0,59.45205479452055,1,3
41,0,0,1,2,11.502895330932871,Commercial associate,Higher education,Married,House / apartment,433,0,1,0,Accountants,4.0,19.0,2.0,34.93698630136986,1,5
42,1,0,0,1,12.506184645360484,Working,Secondary / secondary special,Married,House / apartment,554,1,0,0,Managers,3.0,35.0,0.0,27.24109589041096,1,13
43,0,0,0,0,11.119912506051302,Working,Secondary / secondary special,Married,House / apartment,1876,0,0,0,Sales staff,2.0,8.0,1.0,27.295890410958904,1,5
44,1,0,0,0,12.419173941766314,Working,Higher education,Civil marriage,House / apartment,199,0,0,0,Drivers,2.0,26.0,2.0,41.43835616438356,1,4
45,1,1,0,0,12.911647284348089,Working,Higher education,Married,House / apartment,3200,1,1,0,High skill tech staff,2.0,4.0,0.0,51.10958904109589,1,4
46,0,0,0,0,11.813044872125642,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,1,0,Unemployed,1.0,24.0,2.0,57.80821917808219,1,3
47,0,1,1,0,12.58622678323751,Commercial associate,Higher education,Married,House / apartment,3482,0,0,0,Sales staff,2.0,48.0,2.0,50.43561643835616,1,5
48,0,0,1,0,11.502895330932871,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,Unemployed,2.0,4.0,2.0,64.61643835616438,1,3
49,0,0,1,0,13.279370545011568,Commercial associate,Secondary / secondary special,Married,House / apartment,2010,0,1,0,Managers,2.0,12.0,2.0,51.66575342465753,1,5
50,0,1,0,1,11.407587171287714,Working,Secondary / secondary special,Married,House / apartment,1101,1,0,0,Sales staff,3.0,4.0,2.0,38.221917808219175,1,4
51,1,1,1,0,13.112317081946705,Working,Incomplete higher,Married,With parents,1101,0,0,1,Drivers,2.0,10.0,2.0,24.43013698630137,1,3
52,0,0,1,0,10.896776361897594,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,1,0,Unemployed,2.0,37.0,2.0,65.87397260273973,1,4
53,0,1,1,2,12.63134691686087,State servant,Higher education,Married,House / apartment,3965,0,0,0,Core staff,4.0,42.0,2.0,37.0986301369863,1,3
54,0,0,0,1,11.502895330932871,Working,Secondary / secondary special,Married,House / apartment,422,0,0,0,Sales staff,3.0,2.0,1.0,42.81095890410959,1,7
55,0,0,1,0,12.100723240921731,Working,Secondary / secondary special,Married,House / apartment,3010,0,0,0,Laborers,2.0,24.0,2.0,37.961643835616435,1,6
56,0,1,1,0,11.779143831297946,Working,Secondary / secondary special,Married,House / apartment,9391,0,1,0,Laborers,2.0,29.0,2.0,44.21095890410959,1,5
57,0,0,1,0,12.32386457003594,Commercial associate,Higher education,Single / not married,House / apartment,642,0,0,0,Core staff,1.0,3.0,1.0,46.66027397260274,1,15
58,0,0,1,0,11.877582467350576,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,Unemployed,2.0,23.0,2.0,63.92876712328767,1,6
59,0,0,1,0,12.793864865972417,Pensioner,Higher education,Married,House / apartment,0,0,1,0,Unemployed,2.0,25.0,2.0,62.97260273972603,1,5
60,1,1,1,0,11.630726278246367,Pensioner,Secondary / secondary special,Separated,House / apartment,0,0,0,0,Unemployed,1.0,1.0,1.0,58.62191780821918,0,1
61,1,1,0,1,12.506184645360484,Commercial associate,Higher education,Married,House / apartment,1371,0,0,0,Managers,3.0,15.0,2.0,31.15890410958904,1,3
62,0,1,1,0,12.32386457003594,Working,Higher education,Married,House / apartment,3153,0,1,0,Core staff,2.0,40.0,1.0,47.676712328767124,1,12
63,1,1,1,0,12.660334266993964,Working,Higher education,Married,House / apartment,3337,0,0,0,Managers,2.0,21.0,2.0,42.701369863013696,1,5
64,1,1,0,0,11.119912506051302,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,716,0,0,0,Security staff,1.0,32.0,2.0,24.786301369863015,1,2
65,0,0,1,0,10.609106634591393,Working,Secondary / secondary special,Married,House / apartment,4936,1,0,0,Cleaning staff,2.0,10.0,2.0,34.87397260273973,1,6
66,1,0,1,1,11.877582467350576,Working,Secondary / secondary special,Married,House / apartment,2783,0,0,0,Laborers,3.0,4.0,1.0,37.701369863013696,0,1
67,0,0,1,2,11.9671934355799,Commercial associate,Higher education,Married,House / apartment,1216,0,0,0,High skill tech staff,4.0,2.0,1.0,33.24657534246575,1,12
