index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit,Age,id,dup,cards,family_category
0,0,0,0,0,202500.0,Commercial associate,Higher education,Married,Municipal apartment,4709,0,0,0,Laborers,2.0,6.0,1.0,38.07945205479452,1,1,5,small
1,0,0,1,1,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1540,0,0,1,Laborers,3.0,5.0,1.0,31.17808219178082,2,1,9,small
2,1,1,1,0,450000.0,Working,Higher education,Married,House / apartment,4434,0,1,0,Managers,2.0,22.0,2.0,52.293150684931504,3,1,6,small
3,0,0,1,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,2092,0,1,0,Sales staff,2.0,37.0,0.0,41.33698630136986,4,1,2,small
4,0,1,1,0,157500.0,State servant,Higher education,Married,House / apartment,2105,0,0,0,Managers,2.0,26.0,2.0,41.1972602739726,5,0,1,small
5,0,0,1,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,4996,0,0,1,High skill tech staff,4.0,18.0,1.0,36.74794520547945,6,0,1,big
6,0,0,0,0,315000.0,Working,Secondary / secondary special,Separated,House / apartment,1978,0,0,1,Core staff,1.0,41.0,2.0,48.136986301369866,7,1,5,Nuclear
7,1,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,5420,0,0,1,Drivers,2.0,53.0,0.0,40.81095890410959,8,1,2,small
8,1,1,1,1,180000.0,Commercial associate,Higher education,Married,House / apartment,1466,0,0,1,Laborers,3.0,38.0,2.0,41.45479452054794,9,1,5,small
9,0,0,1,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,1308,0,0,0,Medicine staff,2.0,5.0,2.0,43.24657534246575,10,1,6,small
10,0,0,1,0,193500.0,Working,Secondary / secondary special,Separated,House / apartment,2213,1,1,1,Laborers,1.0,40.0,2.0,52.227397260273975,11,1,4,Nuclear
11,1,1,1,1,135000.0,Commercial associate,Higher education,Married,House / apartment,91,0,0,0,Managers,3.0,51.0,2.0,32.21643835616438,12,1,6,small
12,0,1,1,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,2162,0,0,0,Accountants,3.0,60.0,0.0,32.706849315068496,13,1,5,small
13,0,0,0,0,135000.0,Working,Higher education,Married,House / apartment,2474,0,1,0,Sales staff,2.0,41.0,2.0,27.087671232876712,14,1,4,small
14,0,0,1,0,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,0,1,0,Unemployed,1.0,41.0,2.0,62.8,15,1,3,Nuclear
15,1,1,1,2,157500.0,Working,Secondary / secondary special,Married,With parents,4056,0,1,0,Drivers,4.0,60.0,0.0,35.23013698630137,16,1,4,big
16,1,0,1,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,4553,0,1,0,Laborers,2.0,2.0,1.0,53.172602739726024,17,1,6,small
17,1,0,0,0,270000.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,984,0,0,1,Sales staff,2.0,14.0,2.0,24.254794520547946,18,1,5,small
18,0,0,1,0,216000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,Unemployed,2.0,37.0,2.0,63.323287671232876,19,1,3,small
19,0,0,1,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,6031,0,0,0,Laborers,2.0,7.0,2.0,37.608219178082194,20,1,3,small
20,1,0,0,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1753,0,1,0,Laborers,2.0,35.0,2.0,54.38356164383562,21,0,1,small
21,0,0,0,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,1,0,Unemployed,2.0,7.0,2.0,58.227397260273975,22,1,8,small
22,0,0,0,0,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1357,0,0,0,Laborers,2.0,22.0,0.0,41.63835616438356,23,0,1,small
23,1,1,0,0,225000.0,Working,Secondary / secondary special,Married,Municipal apartment,444,1,1,1,Laborers,2.0,18.0,2.0,39.84109589041096,24,1,4,small
24,0,0,0,0,202500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,0,1,0,Unemployed,1.0,5.0,2.0,61.26301369863014,25,1,7,Nuclear
25,0,0,1,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,3694,0,0,0,Realty agents,3.0,4.0,2.0,38.515068493150686,26,1,6,small
26,1,1,0,1,135000.0,Working,Higher education,Married,House / apartment,3353,1,0,0,Laborers,3.0,13.0,2.0,48.88493150684931,27,1,5,small
27,1,1,1,0,405000.0,State servant,Secondary / secondary special,Married,House / apartment,3500,0,0,0,Core staff,2.0,57.0,2.0,47.42191780821918,28,1,6,small
28,1,1,0,0,112500.0,Commercial associate,Secondary / secondary special,Married,With parents,2325,1,1,0,Drivers,2.0,47.0,2.0,60.57808219178082,29,0,1,small
29,0,0,1,0,121500.0,Commercial associate,Secondary / secondary special,Married,Co-op apartment,1711,0,1,0,Sales staff,2.0,22.0,0.0,32.92328767123288,30,1,5,small
30,1,1,0,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,227,0,0,0,Managers,2.0,33.0,2.0,36.131506849315066,31,1,5,small
31,1,1,1,0,135000.0,Commercial associate,Higher education,Married,House / apartment,3452,1,0,1,Laborers,2.0,18.0,0.0,32.224657534246575,32,1,2,small
32,0,0,1,0,135000.0,Working,Higher education,Married,House / apartment,1628,0,0,0,Laborers,2.0,2.0,0.0,36.43561643835616,33,1,10,small
33,1,0,1,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,346,0,1,0,High skill tech staff,2.0,30.0,2.0,52.602739726027394,34,1,3,small
34,1,1,1,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,1630,0,1,0,Laborers,3.0,22.0,0.0,39.69315068493151,35,1,6,small
35,0,1,0,0,225000.0,Working,Higher education,Civil marriage,House / apartment,2433,0,0,0,Managers,2.0,20.0,2.0,39.556164383561644,36,1,9,small
36,0,1,0,0,225000.0,Working,Higher education,Single / not married,House / apartment,1022,1,1,0,Accountants,1.0,14.0,2.0,55.342465753424655,37,1,3,Nuclear
37,1,1,1,0,585000.0,Commercial associate,Secondary / secondary special,Married,With parents,1646,0,0,0,Drivers,2.0,8.0,2.0,45.62465753424657,38,1,7,small
38,0,0,1,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,3472,0,0,0,Sales staff,2.0,41.0,2.0,37.21095890410959,39,0,1,small
39,1,1,1,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,1600,0,0,0,Laborers,4.0,39.0,2.0,35.676712328767124,40,1,5,big
40,1,1,1,0,90900.0,Working,Secondary / secondary special,Married,House / apartment,2426,0,0,0,Laborers,2.0,21.0,1.0,59.45205479452055,41,1,3,small
41,0,0,1,2,99000.0,Commercial associate,Higher education,Married,House / apartment,433,0,1,0,Accountants,4.0,19.0,2.0,34.93698630136986,42,1,5,big
42,1,0,0,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,554,1,0,0,Managers,3.0,35.0,0.0,27.24109589041096,43,1,13,small
43,0,0,0,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,1876,0,0,0,Sales staff,2.0,8.0,1.0,27.295890410958904,44,1,5,small
44,1,0,0,0,247500.0,Working,Higher education,Civil marriage,House / apartment,199,0,0,0,Drivers,2.0,26.0,2.0,41.43835616438356,45,1,4,small
45,1,1,0,0,405000.0,Working,Higher education,Married,House / apartment,3200,1,1,0,High skill tech staff,2.0,4.0,0.0,51.10958904109589,46,1,4,small
46,0,0,0,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,1,0,Unemployed,1.0,24.0,2.0,57.80821917808219,47,1,3,Nuclear
47,0,1,1,0,292500.0,Commercial associate,Higher education,Married,House / apartment,3482,0,0,0,Sales staff,2.0,48.0,2.0,50.43561643835616,48,1,5,small
48,0,0,1,0,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,0,Unemployed,2.0,4.0,2.0,64.61643835616438,49,1,3,small
