Date,인바디,펠로톤,플래닛피트니스,노틸러스,룰루레몬,나이키,언더아머,브랜드엑스코퍼레이션,푸드나무
2018-01-02,40100.0,,32.96,13.35,79.69,63.49,15.03,,
2018-01-03,38750.0,,32.9,13.3,78.59,63.48,15.72,,
2018-01-04,37450.0,,32.51,12.95,79.85,63.44,15.92,,
2018-01-05,38200.0,,33.7,13.15,79.43,63.98,15.87,,
2018-01-08,39950.0,,33.49,12.9,79.04,64.55,15.98,,
2018-01-09,39550.0,,33.09,12.7,79.51,64.09,15.11,,
2018-01-10,39350.0,,32.66,12.75,78.86,64.22,15.06,,
2018-01-11,40400.0,,33.52,13.05,78.99,64.29,15.3,,
2018-01-12,40050.0,,32.37,13.25,78.84,64.67,15.12,,
2018-01-15,43100.0,,,,,,,,
2018-01-16,42400.0,,31.88,13.5,76.7,63.42,13.81,,
2018-01-17,42500.0,,32.57,13.3,77.92,63.81,13.83,,
2018-01-18,42500.0,,32.4,13.4,77.57,64.11,13.7,,
2018-01-19,41650.0,,33.07,13.6,79.34,67.21,14.21,,
2018-01-22,43100.0,,33.74,13.45,78.96,66.39,14.55,,
2018-01-23,43400.0,,34.1,13.6,79.7,67.14,14.99,,
2018-01-24,43600.0,,34.48,13.3,79.2,68.0,14.93,,
2018-01-25,44000.0,,34.64,13.0,78.62,67.71,14.57,,
2018-01-26,43950.0,,34.74,13.0,79.08,68.04,14.62,,
2018-01-29,42250.0,,34.42,12.95,79.96,67.58,14.53,,
2018-01-30,42100.0,,34.12,12.85,79.48,67.33,14.11,,
2018-01-31,42150.0,,33.76,12.85,78.21,68.22,13.86,,
2018-02-01,41700.0,,33.97,12.8,78.81,67.65,13.95,,
2018-02-02,40900.0,,33.91,12.3,78.62,67.22,13.65,,
2018-02-05,39450.0,,32.5,11.75,77.41,64.39,12.92,,
2018-02-06,40000.0,,31.83,11.9,78.62,65.22,13.1,,
2018-02-07,39250.0,,31.71,11.9,80.99,65.63,13.26,,
2018-02-08,40500.0,,29.44,12.0,76.67,62.49,13.14,,
2018-02-09,39100.0,,30.31,12.25,77.15,65.49,13.75,,
2018-02-12,39200.0,,31.31,12.0,76.8,65.98,14.23,,
2018-02-13,38200.0,,30.76,12.15,77.27,65.87,16.7,,
2018-02-14,38600.0,,31.69,12.05,81.22,67.96,17.76,,
2018-02-15,,,32.43,11.9,80.92,68.29,18.41,,
2018-02-16,,,32.38,11.9,81.4,68.3,17.36,,
2018-02-19,40400.0,,,,,,,,
2018-02-20,40050.0,,33.68,11.65,80.58,67.49,17.14,,
2018-02-21,40200.0,,33.68,11.9,81.16,67.05,17.03,,
2018-02-22,39250.0,,32.79,11.85,80.83,67.13,16.62,,
2018-02-23,41000.0,,36.78,11.95,81.86,68.16,17.02,,
2018-02-26,41900.0,,37.18,12.25,82.33,69.65,17.25,,
2018-02-27,41250.0,,36.96,11.85,80.46,68.03,16.75,,
2018-02-28,42300.0,,36.98,11.85,81.1,67.03,16.58,,
2018-03-01,,,37.35,11.95,81.04,66.32,16.14,,
2018-03-02,44950.0,,37.71,12.55,82.07,65.89,17.02,,
2018-03-05,45050.0,,38.18,12.6,81.13,65.05,17.42,,
2018-03-06,44850.0,,39.06,12.3,83.69,65.24,17.62,,
2018-03-07,45000.0,,39.23,13.0,81.32,64.17,17.38,,
2018-03-08,44500.0,,39.34,12.45,80.75,65.11,17.16,,
2018-03-09,45200.0,,39.51,12.6,81.0,66.3,17.05,,
2018-03-12,45600.0,,39.52,13.15,80.33,66.82,17.18,,
2018-03-13,46450.0,,39.35,13.0,79.8,66.17,16.56,,
2018-03-14,46000.0,,38.67,13.2,80.75,66.2,16.08,,
2018-03-15,46200.0,,38.66,13.15,79.61,66.39,15.9,,
2018-03-16,46600.0,,38.39,13.65,80.76,65.91,16.19,,
2018-03-19,45100.0,,38.24,13.05,80.28,65.71,16.15,,
2018-03-20,47850.0,,38.5,12.8,81.48,66.8,16.0,,
2018-03-21,48200.0,,38.61,12.7,80.7,66.35,15.95,,
2018-03-22,46250.0,,37.83,12.45,81.1,64.42,15.73,,
2018-03-23,46400.0,,37.72,12.3,79.51,64.63,15.78,,
2018-03-26,48900.0,,38.29,12.35,80.34,65.9,16.67,,
2018-03-27,48900.0,,37.5,12.9,78.71,66.17,16.44,,
2018-03-28,48450.0,,37.02,13.15,85.96,65.44,16.33,,
2018-03-29,50600.0,,37.77,13.45,89.12,66.44,16.35,,
2018-03-30,50400.0,,,,,,,,
2018-04-02,49350.0,,36.42,13.3,87.27,64.12,16.1,,
2018-04-03,49400.0,,36.73,13.5,88.67,66.7,16.82,,
2018-04-04,47550.0,,37.66,13.8,88.24,68.42,17.89,,
2018-04-05,48000.0,,38.91,13.9,91.27,69.59,17.47,,
2018-04-06,48050.0,,38.81,13.75,89.61,67.55,16.98,,
2018-04-09,48400.0,,38.42,13.7,89.64,67.18,16.64,,
2018-04-10,48850.0,,38.85,13.7,91.01,67.0,16.82,,
2018-04-11,47900.0,,38.61,13.65,91.08,66.83,16.74,,
2018-04-12,45850.0,,38.72,13.6,92.02,67.77,17.04,,
2018-04-13,46800.0,,38.56,13.65,91.71,67.25,16.49,,
2018-04-16,46150.0,,39.18,13.85,93.76,67.06,16.45,,
2018-04-17,46350.0,,40.47,14.0,94.6,67.51,16.35,,
2018-04-18,44950.0,,40.79,13.65,95.0,66.2,16.1,,
2018-04-19,45150.0,,40.73,13.45,95.29,65.73,16.08,,
2018-04-20,45700.0,,40.87,13.45,96.31,66.09,16.1,,
2018-04-23,45800.0,,40.55,15.0,96.64,66.88,16.73,,
2018-04-24,44300.0,,39.97,14.5,96.9,66.97,16.96,,
2018-04-25,44650.0,,39.99,14.65,97.85,66.67,16.44,,
2018-04-26,45600.0,,40.35,14.7,98.42,68.05,16.91,,
2018-04-27,45900.0,,40.5,14.6,99.17,69.56,17.83,,
2018-04-30,43050.0,,40.29,14.55,99.8,68.39,17.76,,
2018-05-01,,,40.37,14.85,99.7,68.1,18.03,,
2018-05-02,43600.0,,40.51,14.95,99.74,68.26,18.36,,
2018-05-03,42300.0,,40.98,14.85,99.86,66.9,17.37,,
2018-05-04,40500.0,,40.45,15.15,95.49,68.1,17.36,,
2018-05-07,,,41.45,15.5,97.17,69.34,17.87,,
2018-05-08,39350.0,,40.65,16.9,98.2,68.46,18.32,,
2018-05-09,40300.0,,38.69,16.5,98.96,67.95,18.29,,
2018-05-10,40350.0,,39.73,16.35,97.91,67.92,18.56,,
2018-05-11,40500.0,,40.49,16.2,98.54,68.43,18.76,,
2018-05-14,39300.0,,39.26,15.65,98.72,68.84,18.44,,
2018-05-15,39000.0,,40.1,15.6,98.95,69.5,18.88,,
2018-05-16,37200.0,,40.75,15.9,101.65,71.34,20.52,,
2018-05-17,34950.0,,40.9,15.7,102.0,70.94,20.38,,
2018-05-18,36150.0,,39.94,15.85,102.82,71.32,20.12,,
2018-05-21,35600.0,,40.27,15.4,103.74,71.38,20.11,,
2018-05-22,,,39.35,15.25,102.88,71.31,19.84,,
2018-05-23,35150.0,,38.92,15.45,105.27,71.34,20.07,,
2018-05-24,35200.0,,38.87,15.6,106.41,72.18,20.58,,
2018-05-25,34350.0,,38.86,15.5,106.18,72.25,20.85,,
2018-05-28,34800.0,,,,,,,,
2018-05-29,33800.0,,39.29,15.25,105.68,70.92,20.66,,
2018-05-30,33250.0,,39.75,15.2,105.63,72.23,21.4,,
2018-05-31,33100.0,,39.63,14.95,105.05,71.8,20.9,,
2018-06-01,33600.0,,39.96,15.1,122.19,72.76,21.36,,
2018-06-04,33100.0,,41.28,15.4,124.98,73.83,22.71,,
2018-06-05,33050.0,,42.14,15.7,124.05,74.05,23.53,,
2018-06-06,,,43.9,15.35,124.19,74.75,24.25,,
2018-06-07,33650.0,,42.83,15.25,122.7,74.76,23.57,,
2018-06-08,33300.0,,43.12,16.15,122.02,74.9,24.31,,
2018-06-11,33100.0,,43.39,16.6,122.37,74.59,24.1,,
2018-06-12,33400.0,,43.37,16.5,124.96,74.29,24.0,,
2018-06-13,,,43.98,16.25,125.13,74.11,23.62,,
2018-06-14,32400.0,,45.35,16.25,125.88,74.7,23.47,,
2018-06-15,32200.0,,45.21,16.3,128.37,75.84,23.21,,
2018-06-18,31900.0,,45.62,16.5,129.69,75.61,23.31,,
2018-06-19,30550.0,,45.16,16.4,128.1,74.26,22.62,,
2018-06-20,34100.0,,46.69,16.3,128.27,74.72,23.11,,
