Date,Close
2018-01-02,40100
2018-01-03,38750
2018-01-04,37450
2018-01-05,38200
2018-01-08,39950
2018-01-09,39550
2018-01-10,39350
2018-01-11,40400
2018-01-12,40050
2018-01-15,43100
2018-01-16,42400
2018-01-17,42500
2018-01-18,42500
2018-01-19,41650
2018-01-22,43100
2018-01-23,43400
2018-01-24,43600
2018-01-25,44000
2018-01-26,43950
2018-01-29,42250
2018-01-30,42100
2018-01-31,42150
2018-02-01,41700
2018-02-02,40900
2018-02-05,39450
2018-02-06,40000
2018-02-07,39250
2018-02-08,40500
2018-02-09,39100
2018-02-12,39200
2018-02-13,38200
2018-02-14,38600
2018-02-19,40400
2018-02-20,40050
2018-02-21,40200
2018-02-22,39250
2018-02-23,41000
2018-02-26,41900
2018-02-27,41250
2018-02-28,42300
2018-03-02,44950
2018-03-05,45050
2018-03-06,44850
2018-03-07,45000
2018-03-08,44500
2018-03-09,45200
2018-03-12,45600
2018-03-13,46450
2018-03-14,46000
2018-03-15,46200
2018-03-16,46600
2018-03-19,45100
2018-03-20,47850
2018-03-21,48200
2018-03-22,46250
2018-03-23,46400
2018-03-26,48900
2018-03-27,48900
2018-03-28,48450
2018-03-29,50600
2018-03-30,50400
2018-04-02,49350
2018-04-03,49400
2018-04-04,47550
2018-04-05,48000
2018-04-06,48050
2018-04-09,48400
2018-04-10,48850
2018-04-11,47900
2018-04-12,45850
2018-04-13,46800
2018-04-16,46150
2018-04-17,46350
2018-04-18,44950
2018-04-19,45150
2018-04-20,45700
2018-04-23,45800
2018-04-24,44300
2018-04-25,44650
2018-04-26,45600
2018-04-27,45900
2018-04-30,43050
2018-05-02,43600
2018-05-03,42300
2018-05-04,40500
2018-05-08,39350
2018-05-09,40300
2018-05-10,40350
2018-05-11,40500
2018-05-14,39300
2018-05-15,39000
2018-05-16,37200
2018-05-17,34950
2018-05-18,36150
2018-05-21,35600
2018-05-23,35150
2018-05-24,35200
2018-05-25,34350
2018-05-28,34800
2018-05-29,33800
2018-05-30,33250
2018-05-31,33100
2018-06-01,33600
2018-06-04,33100
2018-06-05,33050
2018-06-07,33650
2018-06-08,33300
2018-06-11,33100
2018-06-12,33400
2018-06-14,32400
2018-06-15,32200
2018-06-18,31900
2018-06-19,30550
2018-06-20,34100
2018-06-21,32200
2018-06-22,32450
2018-06-25,32100
2018-06-26,34100
2018-06-27,33200
2018-06-28,32350
2018-06-29,32050
2018-07-02,30100
2018-07-03,29900
2018-07-04,29800
2018-07-05,28900
2018-07-06,29350
2018-07-09,29200
2018-07-10,28850
2018-07-11,28850
2018-07-12,28450
2018-07-13,28850
2018-07-16,28200
2018-07-17,27300
2018-07-18,26450
2018-07-19,26250
2018-07-20,26450
2018-07-23,25200
2018-07-24,25450
2018-07-25,24650
2018-07-26,25300
2018-07-27,25950
2018-07-30,25250
2018-07-31,25250
2018-08-01,25750
2018-08-02,24900
2018-08-03,25250
2018-08-06,24950
2018-08-07,24900
2018-08-08,24350
2018-08-09,23350
2018-08-10,24300
2018-08-13,24300
2018-08-14,25950
2018-08-16,26650
2018-08-17,26850
2018-08-20,26200
2018-08-21,26800
2018-08-22,26250
2018-08-23,26550
2018-08-24,26100
2018-08-27,26450
2018-08-28,25750
2018-08-29,26250
2018-08-30,28600
2018-08-31,29350
2018-09-03,28800
2018-09-04,28850
2018-09-05,28250
2018-09-06,27400
2018-09-07,27850
2018-09-10,26750
2018-09-11,27200
2018-09-12,27350
2018-09-13,27650
2018-09-14,29000
2018-09-17,28500
2018-09-18,29250
2018-09-19,29050
2018-09-20,28050
2018-09-21,28750
2018-09-27,28950
2018-09-28,28450
2018-10-01,26800
2018-10-02,25600
2018-10-04,26650
2018-10-05,26250
2018-10-08,26200
2018-10-10,25200
2018-10-11,24700
2018-10-12,24850
2018-10-15,23300
2018-10-16,23600
2018-10-17,23900
2018-10-18,23050
2018-10-19,23600
2018-10-22,23500
2018-10-23,23300
2018-10-24,23000
2018-10-25,22500
2018-10-26,21000
2018-10-29,20450
2018-10-30,20900
2018-10-31,21050
2018-11-01,21100
2018-11-02,22550
2018-11-05,22400
2018-11-06,22300
2018-11-07,21500
2018-11-08,21600
2018-11-09,21150
2018-11-12,21000
2018-11-13,20550
2018-11-14,20900
2018-11-15,21950
2018-11-16,22700
2018-11-19,22800
2018-11-20,22150
2018-11-21,21950
2018-11-22,23100
2018-11-23,22850
2018-11-26,23050
2018-11-27,23050
2018-11-28,22400
2018-11-29,22450
2018-11-30,22950
2018-12-03,23200
2018-12-04,23550
2018-12-05,23000
2018-12-06,21800
2018-12-07,22100
2018-12-10,21350
2018-12-11,21650
2018-12-12,22100
2018-12-13,21750
2018-12-14,21200
2018-12-17,21150
2018-12-18,20850
2018-12-19,21350
2018-12-20,20800
2018-12-21,20850
2018-12-24,21150
2018-12-26,21100
2018-12-27,20850
2018-12-28,21700
2019-01-02,21500
2019-01-03,21000
2019-01-04,21150
2019-01-07,22100
2019-01-08,21900
2019-01-09,22400
2019-01-10,22850
2019-01-11,23050
2019-01-14,22300
2019-01-15,22500
2019-01-16,22700
2019-01-17,22750
2019-01-18,22650
2019-01-21,22450
2019-01-22,23350
2019-01-23,23450
2019-01-24,23450
2019-01-25,23350
2019-01-28,23050
2019-01-29,23250
2019-01-30,23150
2019-01-31,23200
2019-02-01,23000
2019-02-07,23050
2019-02-08,22750
2019-02-11,22450
2019-02-12,22200
2019-02-13,22600
2019-02-14,23700
2019-02-15,25050
2019-02-18,25500
2019-02-19,25250
2019-02-20,25400
2019-02-21,25300
2019-02-22,24700
2019-02-25,24700
2019-02-26,24850
2019-02-27,24800
2019-02-28,23700
2019-03-04,24550
2019-03-05,24350
2019-03-06,23000
2019-03-07,22300
2019-03-08,22500
2019-03-11,21900
2019-03-12,22150
2019-03-13,22350
2019-03-14,22550
2019-03-15,22600
2019-03-18,22850
2019-03-19,22900
2019-03-20,22500
2019-03-21,22250
2019-03-22,22650
2019-03-25,22050
2019-03-26,22150
2019-03-27,22000
2019-03-28,21400
2019-03-29,21700
2019-04-01,22200
2019-04-02,22350
2019-04-03,22400
2019-04-04,22450
2019-04-05,22550
2019-04-08,22850
2019-04-09,22500
2019-04-10,22850
2019-04-11,23050
2019-04-12,21750
2019-04-15,22050
2019-04-16,22050
2019-04-17,22750
2019-04-18,22250
2019-04-19,22600
2019-04-22,22750
2019-04-23,22500
2019-04-24,22400
2019-04-25,22150
2019-04-26,21850
2019-04-29,22100
2019-04-30,22100
2019-05-02,22750
2019-05-03,22400
2019-05-07,22150
2019-05-08,22100
2019-05-09,21000
2019-05-10,20350
2019-05-13,22000
2019-05-14,24000
2019-05-15,24200
2019-05-16,24400
2019-05-17,22700
2019-05-20,22050
2019-05-21,23250
2019-05-22,23800
2019-05-23,24050
2019-05-24,24100
2019-05-27,23500
2019-05-28,23900
2019-05-29,23250
2019-05-30,23850
2019-05-31,25750
2019-06-03,27000
2019-06-04,27000
2019-06-05,26500
2019-06-07,27600
2019-06-10,27650
2019-06-11,27600
2019-06-12,27000
2019-06-13,26950
2019-06-14,26700
2019-06-17,26850
2019-06-18,25900
2019-06-19,26150
2019-06-20,26200
2019-06-21,26050
2019-06-24,25050
2019-06-25,25100
2019-06-26,24800
2019-06-27,24550
2019-06-28,24250
2019-07-01,24800
2019-07-02,25250
2019-07-03,24450
2019-07-04,24850
2019-07-05,25250
2019-07-08,24000
2019-07-09,24650
2019-07-10,25100
2019-07-11,26600
2019-07-12,26600
2019-07-15,26500
2019-07-16,26450
2019-07-17,25700
2019-07-18,25850
2019-07-19,26750
